X,Y,OBJECTID,ADDRESS_ID,STATUS,FULLADDRESS,XCOORD,YCOORD,WARD_2012,WARD_2022,WARD_CHANGE
-76.97877608,38.8942872470001,4746,36941,ACTIVE,331 18TH STREET NE,401841.39,136270.49,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.979240139,38.8935920640001,4747,56681,ACTIVE,1734 C STREET NE,401801.15,136193.31,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.980102465,38.892427072,4748,52119,ACTIVE,208 17TH PLACE NE,401726.37,136063.97,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.977537347,38.888833886,4749,54937,ACTIVE,1834 A STREET SE,401949,135665.15,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.977876991,38.8859825280001,4750,55097,ACTIVE,1831 BURKE STREET SE,401919.61,135348.62,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.979247495,38.884550717,4751,38610,ACTIVE,321 18TH STREET SE,401800.74,135189.65,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982590671,38.895285555,4752,61198,ACTIVE,1529 ISHERWOOD STREET NE,401510.45,136381.24,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982013603,38.8861598930001,4753,60445,ACTIVE,1603 MASSACHUSETTS AVENUE SE,401560.71,135368.23,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9804532699999,38.8842886910001,4754,57898,ACTIVE,1704 D STREET SE,401696.13,135160.54,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982453538,38.890421824,4755,56296,ACTIVE,18 16TH STREET NE,401522.45,135841.33,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9816941569999,38.8917923320001,4756,148709,ACTIVE,1615 CONSTITUTION AVENUE NE,401588.3,135993.48,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.976804069,38.8983095580001,4757,78208,ACTIVE,730 19TH STREET NE,402012.35,136717.04,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.97918835,38.8881695540001,4758,74230,ACTIVE,111 18TH STREET SE,401805.78,135591.37,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9829579839999,38.8830170090001,4759,61829,ACTIVE,1518 E STREET SE,401478.84,135019.33,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9816325899999,38.8855752800001,4760,59473,ACTIVE,1620 C STREET SE,401593.78,135303.34,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.983249508,38.8842984940001,4761,62210,ACTIVE,1508 D STREET SE,401453.52,135161.58,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.980997154,38.8869323810001,4762,49276,ACTIVE,229 17TH STREET SE,401648.88,135454,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.977695104,38.8959638630001,4763,54900,ACTIVE,1843 E STREET NE,401935.12,136456.63,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.977896449,38.8942382590001,4764,37220,ACTIVE,329 18TH PLACE NE,401917.7,136265.07,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.980040399,38.893023235,4765,57254,ACTIVE,1717 C STREET NE,401731.74,136130.15,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9778802829999,38.8935840680001,4766,55367,ACTIVE,1824 C STREET NE,401919.12,136192.45,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.975961602,38.8925120530001,4767,51250,ACTIVE,213 20TH STREET NE,402085.6,136073.49,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.981985761,38.8941768030001,4768,37561,ACTIVE,325 16TH STREET NE,401562.95,136258.17,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9788313399999,38.8859774800001,4769,56188,ACTIVE,1801 BURKE STREET SE,401836.81,135348.04,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.9787221729999,38.889512079,4770,53210,ACTIVE,2 18TH STREET SE,401846.19,135740.41,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
-76.982874592,38.8871222080001,4771,151225,ACTIVE,1522 MASSACHUSETTS AVENUE SE,401485.99,135475.04,Ward 6,Ward 7,FROM Ward 6 TO Ward 7
